12.0;12.0;1;1;0.05;-1.4017543854627021;-1.4017557263028593;true 
12.0;12.0;1;1;0.5;-12.583333290282978;-12.583380226803998;true 
12.0;12.0;1;1;0.95;-224.11025640073308;-224.110325268817;true 
12.0;12.0;1;6;0.05;0.395164652013779;0.39516383747258677;true 
12.0;12.0;1;6;0.5;-1.0434782606537016;-1.0434790467206092;true 
12.0;12.0;1;6;0.95;-3.7724374683632482;-3.772437891422129;true 
12.0;12.0;6;6;0.05;8.854135704145532;8.854128677728973;true 
12.0;12.0;6;6;0.5;8.690559440749231;8.690558445285877;true 
12.0;12.0;6;6;0.95;8.498447183209615;8.498416458628155;true 
12.0;300.0;1;1;0.05;-288.8521303247207;-288.8521307001367;true 
12.0;300.0;1;1;0.5;-395.33333333247566;-395.33333500166293;true 
12.0;300.0;1;1;0.95;-3176.7179487176268;-3177.2680247045323;true 
12.0;300.0;1;6;0.05;-38.03751559270374;-38.037515844294276;true 
12.0;300.0;1;6;0.5;-41.13043474850976;-41.13043539605173;true 
12.0;300.0;1;6;0.95;-57.4458067659747;-57.44580770422122;true 
12.0;300.0;6;6;0.05;-37.93680116607428;-37.936801208870705;true 
12.0;300.0;6;6;0.5;-38.4335664329805;-38.433566466538586;true 
12.0;300.0;6;6;0.95;-39.5250373955296;-39.52503740604679;true 
300.0;300.0;1;1;0.05;-304.5596491118311;-304.5596501165902;true 
300.0;300.0;1;1;0.5;-588.5833333327575;-588.5833350231127;true 
300.0;300.0;1;1;0.95;-5984.110256403043;-5984.110271077598;true 
300.0;300.0;1;6;0.05;-290.12588578561144;-290.1258860116369;true 
300.0;300.0;1;6;0.5;-326.6086956520301;-326.60869589804474;true 
300.0;300.0;1;6;0.95;-396.43550760155966;-396.43550997463115;true 
300.0;300.0;6;6;0.05;-39.54922564055235;-39.54923342459454;true 
300.0;300.0;6;6;0.5;-43.67307692288475;-43.673079414820904;true 
300.0;300.0;6;6;0.95;-48.53125578687113;-48.53126107681048;true 
